group_kind,group_id,row_label,gene,scores,log2fc,pvals,fdr,pct_in,pct_bg,delta_pct,marker_rank
small_cluster,18,cluster_18,Cgref1,39.37249,8.099563,0.0,0.0,0.49230769230769234,0.0052774427020506635,0.4870302496056417,2
small_cluster,18,cluster_18,Fgl2,38.656395,7.55121,0.0,0.0,0.4461538461538462,0.004221954161640531,0.44193189199220567,3
small_cluster,18,cluster_18,Lmcd1,33.1051,6.6864657,2.5098279988050415e-240,8.232737801680298e-237,0.47692307692307695,0.00859469240048251,0.46832838452259445,4
small_cluster,18,cluster_18,Fkbp11,29.929905,5.8602657,8.035641464644357e-197,2.196542594360535e-193,0.5692307692307692,0.01718938480096502,0.5520413844298042,5
small_cluster,18,cluster_18,Dmbt1,29.788017,7.572443,5.5848856352543065e-195,1.3085387043400839e-191,0.8615384615384616,0.04674306393244873,0.8147953976060128,6
small_cluster,18,cluster_18,Wfdc18,28.910194,7.755184,8.889042084114255e-184,1.8223647402694739e-180,0.49230769230769234,0.013570566948130277,0.47873712535956203,7
small_cluster,18,cluster_18,Tff1,27.174982,7.806202,1.2834263232710233e-162,1.9135886479970957e-159,0.2923076923076923,0.004523522316043426,0.2877841699916489,8
small_cluster,18,cluster_18,Gp2,26.77956,8.273734,5.591287291554931e-158,7.641891905732703e-155,0.7692307692307693,0.047044632086851626,0.7221861371439177,9
small_cluster,18,cluster_18,Cldn2,26.220053,6.5538907,1.5698699312724308e-151,1.9805720571383952e-148,0.26153846153846155,0.0037696019300361883,0.2577688596084254,10
small_cluster,18,cluster_18,Azgp1,24.850143,5.1576967,2.5766139082941342e-136,3.018503193566578e-133,0.4307692307692308,0.014324487334137515,0.4164447434350933,11
small_cluster,18,cluster_18,Kcnn4,24.35526,5.18181,5.099171513840423e-131,5.575434133233119e-128,0.6615384615384615,0.039806996381182146,0.6217314651572794,12
small_cluster,18,cluster_18,Pycr1,23.313646,5.3793697,3.22357672539027e-120,3.1099930513603415e-117,0.3076923076923077,0.007840772014475271,0.29985153567783246,13
small_cluster,18,cluster_18,Sox9,21.6904,4.3239975,2.5278536711149763e-104,1.9742537171407966e-101,0.4307692307692308,0.019300361881785282,0.4114688688874455,14
small_cluster,18,cluster_18,Creb3l4,19.392267,3.9405484,8.969359763578603e-84,5.448387758609358e-81,0.6461538461538462,0.05744873341375151,0.5887051127400946,15
small_cluster,18,cluster_18,Serpinb11,18.16266,4.4622283,1.019617066899696e-73,5.972406969364969e-71,0.7230769230769231,0.0885102533172497,0.6345666697596734,16
small_cluster,18,cluster_18,Cited4,18.091003,4.3318377,3.7519933874222023e-73,2.1219463292107426e-70,0.5384615384615384,0.04659227985524728,0.49186925860629116,17
