Dataset,Method,cluster_id,cluster_size,dominant_label,dominant_count,dominant_frac,top3,label_entropy,tp,fp,fn,tn,f1,precision,is_dominant_rare,n_rare_types_hit,hit_types
Airway.h5,RAG,73,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,74,2,Ciliated,2,1.0,Ciliated:2,-1.000088900581841e-12,2,0,351,6344,0.011267605633802816,1.0,False,0,
Airway.h5,RAG,75,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,76,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,77,2,Ciliated,2,1.0,Ciliated:2,-1.000088900581841e-12,2,0,351,6344,0.011267605633802816,1.0,False,0,
Airway.h5,RAG,78,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,79,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,8,251,Club,251,1.0,Club:251,-1.000088900581841e-12,251,0,2221,4225,0.18435549026808667,1.0,False,0,
Airway.h5,RAG,80,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,81,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,82,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,83,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,84,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,85,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,86,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,87,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,88,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,89,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,9,245,Ciliated,245,1.0,Ciliated:245,-1.000088900581841e-12,245,0,108,6344,0.8193979933110369,1.0,False,0,
Airway.h5,RAG,90,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,91,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,92,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,93,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,94,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,95,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,96,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,97,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,98,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,99,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
